Tools	Marine	Strain-madness	Plant-associated	clustering
VAMB	0.55440910176425	0.22313857587924	0.24176591773007	own
SemiBin2	0.679641286040389	0.399480152921682	0.401059671524875	own
COMEBin	0.693240821787787	0.42278243048861	0.401694516119229	own
GenomeFace	0.631553494020681	0.481621270835332	0.349782660620558	own
TaxVAMB	0.666342573781924	0.178123422962488	0.284189277021323	own
TaxVAMB_wo_taxometer	0.646022847843509	0.188061379327909	0.276153949233711	own
VAMB	0.669459629090895	0.281250264820156	0.345983685060748	comebin
SemiBin2	0.637992599280152	0.347214742872848	0.445796711469047	comebin
COMEBin	0.693240821787787	0.42278243048861	0.401694516119229	comebin
GenomeFace	0.564333994642817	0.305865955966325	0.388572290063932	comebin
TaxVAMB	0.667796391862564	0.353842356248891	0.353508881445949	comebin
TaxVAMB_wo_taxometer	0.661221566423603	0.24742671151463	0.34241876598075	comebin
